epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5643693208694458,0.5775487422943115,0.0010000000474974513,0.9480825662612915,0.30263158679008484,0.5601475834846497,0.26019081473350525,0.6270208358764648,0.9840434193611145,0.25328660011291504,0.9965517520904541
1,0.6719301342964172,0.6889133453369141,0.0010000000474974513,0.8331750631332397,0.39960917830467224,0.6036900281906128,0.5932350158691406,0.5992288589477539,0.8804054856300354,0.32347139716148376,0.565517246723175
2,0.7464239001274109,0.7617570757865906,0.0010000000474974513,0.7502322793006897,0.4970828592777252,0.6287822723388672,0.677363395690918,0.7718902826309204,0.8686415553092957,0.4180000126361847,0.7206896543502808
3,0.7891510128974915,0.8090934753417969,0.0010000000474974513,0.6812601685523987,0.5706033110618591,0.6560885906219482,0.7918473482131958,0.7684161067008972,0.6767944693565369,0.620192289352417,0.4448275864124298
4,0.8149730563163757,0.8312110304832458,0.0010000000474974513,0.6346036791801453,0.6205506920814514,0.6819187998771667,0.8352124691009521,0.8313461542129517,0.5878354907035828,0.7976190447807312,0.46206897497177124
5,0.8253762125968933,0.8506448864936829,0.0010000000474974513,0.5970059633255005,0.6369637250900269,0.7121770977973938,0.5880312323570251,0.8508231043815613,1.0234918594360352,0.36953455209732056,0.9034482836723328
6,0.8370797038078308,0.8647953271865845,0.0010000000474974513,0.5610663294792175,0.6560052037239075,0.7416974306106567,0.8213356733322144,0.8780356049537659,0.5853472352027893,0.614130437374115,0.7793103456497192
7,0.8394947052001953,0.8744505643844604,0.0010000000474974513,0.5442749261856079,0.65767502784729,0.7557195425033569,0.7692974805831909,0.883537769317627,0.6204169392585754,0.5259740352630615,0.8379310369491577
8,0.8393089175224304,0.882638692855835,0.0010000000474974513,0.5240939855575562,0.6558524370193481,0.7608855962753296,0.8516912460327148,0.8703280091285706,0.45069852471351624,0.7668161392211914,0.5896551609039307
9,0.8417239189147949,0.8818596005439758,0.0010000000474974513,0.5109676718711853,0.6619446277618408,0.7586715817451477,0.8620988726615906,0.8725335597991943,0.435693621635437,0.8104265332221985,0.5896551609039307
10,0.8433958888053894,0.8952434659004211,0.0010000000474974513,0.4890381693840027,0.6604009866714478,0.7778598070144653,0.7692974805831909,0.869441032409668,0.5650949478149414,0.5264317393302917,0.8241379261016846
11,0.8523128628730774,0.8983343243598938,0.0010000000474974513,0.4767225682735443,0.6763224005699158,0.7926199436187744,0.8681699633598328,0.8787289261817932,0.4363064169883728,0.7974137663841248,0.6379310488700867
12,0.8521270751953125,0.896533727645874,0.0010000000474974513,0.4789937436580658,0.6790518760681152,0.7822878360748291,0.8438855409622192,0.8796080350875854,0.4798755645751953,0.6687116622924805,0.751724123954773
13,0.863459050655365,0.9209856986999512,0.0005000000237487257,0.4314098656177521,0.6892551779747009,0.8332103490829468,0.8690372705459595,0.8644843697547913,0.4377185106277466,0.8088889122009277,0.6275861859321594
14,0.8681032657623291,0.920086145401001,0.0005000000237487257,0.42689037322998047,0.702194333076477,0.8265682458877563,0.8560277819633484,0.8427358269691467,0.47359034419059753,0.7897196412086487,0.5827586054801941
15,0.8742337226867676,0.925326943397522,0.0005000000237487257,0.41169941425323486,0.7167519330978394,0.8273062705993652,0.8551604747772217,0.866757869720459,0.43746820092201233,0.8682634830474854,0.5
